1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.514420	0.000000	153.413052	0.020788	14.6
1	-0.559597	0.000000	153.413052	0.020345	0.7
2	-0.525279	0.287657	151.340000	0.027229	0.8
3	-0.527660	0.000000	153.413052	0.019628	0.7
4	-0.544075	1.000000	146.439731	0.022572	0.7
5	-0.525207	2.000000	140.072786	0.017812	0.7
6	-0.557249	1.199945	145.120811	0.018187	0.7
7	-0.550812	0.397163	150.565476	0.020256	0.7
8	-0.540338	1.374785	143.986817	0.022212	0.7
9	-0.557498	1.533809	142.970686	0.025251	0.7
10	-0.542156	2.533809	136.895567	0.025513	0.7
11	-0.560710	3.533809	131.315693	0.019910	0.6
12	-0.600107	4.533809	126.172877	0.023910	0.7
13	-0.561962	5.510585	121.524068	0.026141	0.7
14	-0.536405	6.510585	117.106711	0.020606	0.8
15	-0.567853	5.707803	120.626700	0.030766	0.7
16	-0.554957	6.707803	116.273172	0.018313	0.7
17	-0.583253	7.707803	112.222943	0.023807	0.7
18	-0.557057	8.707803	108.445385	0.023399	0.8
19	-0.555944	9.707774	104.913956	0.026482	0.7
20	-0.561471	10.707774	101.605179	0.025409	0.7
21	-0.582261	11.707774	98.498726	0.018453	1.2
22	-0.626432	12.547013	96.034604	0.021574	0.7
23	-0.589856	13.546878	93.255143	0.021337	0.7
24	-0.602904	14.546811	90.631875	0.023691	0.7
25	-0.622629	15.536674	88.176446	0.025139	0.7
26	-0.574998	16.536674	85.827372	0.022355	0.7
27	-0.586925	17.536674	83.600211	0.024556	0.6
28	-0.600174	17.068955	84.627332	0.022104	0.7
29	-0.602955	18.068955	82.461230	0.022610	0.7
30	-0.576699	17.266173	84.191176	0.029971	0.8
31	-0.597778	18.091346	82.413998	0.024087	0.7
32	-0.606522	19.091236	80.358562	0.028706	0.7
33	-0.616323	20.091236	78.402949	0.020461	0.7
34	-0.649792	21.091236	76.540258	0.027061	0.7
35	-0.634657	22.091234	74.764024	0.020938	0.7
36	-0.594643	21.288452	76.183305	0.020677	0.7
37	-0.639423	22.288445	74.423419	0.025499	0.7
38	-0.661997	21.485843	75.829356	0.021986	0.7
39	-0.583574	22.485843	74.085584	0.024724	0.7
40	-0.589498	23.485837	72.420220	0.021184	0.7
41	-0.652754	22.683644	73.750122	0.026036	0.7
42	-0.623912	21.882380	75.128154	0.026513	0.7
43	-0.649727	22.882380	73.416120	0.022430	0.7
44	-0.617627	23.882380	71.780375	0.019183	0.7
45	-0.625737	23.102726	73.049319	0.020995	0.7
46	-0.635269	22.302410	74.399418	0.030127	0.7
47	-0.647811	23.302410	72.720064	0.020890	0.7
48	-0.657944	24.302410	71.114850	0.024661	0.7
49	-0.622505	23.499717	72.397630	0.023481	0.7
50	-0.641374	24.499717	70.806464	0.023294	0.7
51	-0.616707	23.705628	72.064172	0.022775	0.7
52	-0.650138	22.902846	73.381896	0.032351	0.8
53	-0.637385	22.100064	74.748708	0.019627	0.7
54	-0.638856	23.100064	73.053728	0.023584	0.7
55	-0.624757	24.100044	71.433946	0.017412	0.7
56	-0.666989	25.099969	69.884517	0.022158	0.7
57	-0.658442	26.099932	68.400823	0.026948	0.7
58	-0.663611	27.099932	66.978766	0.025845	0.7
59	-0.648857	28.099932	65.614635	0.022729	0.7
60	-0.646075	29.099932	64.304960	0.028291	0.8
61	-0.650654	28.297187	65.352088	0.026672	0.7
62	-0.676998	29.297187	64.052769	0.024382	0.7
63	-0.652768	30.297187	62.804108	0.024536	1.0
64	-0.630890	29.494405	63.802595	0.024312	0.7
65	-0.626799	28.707812	64.812229	0.023037	0.7
66	-0.657128	29.707812	63.534079	0.029670	0.7
67	-0.636361	30.707812	62.305365	0.025100	0.7
68	-0.696490	31.707812	61.123275	0.026355	0.7
69	-0.635080	32.707812	59.985205	0.021377	0.7
70	-0.620772	33.707812	58.888740	0.025666	0.7
71	-0.680561	34.705744	57.833786	0.022775	0.7
72	-0.679348	35.705744	56.813893	0.020472	0.7
73	-0.689151	36.705744	55.829348	0.027116	0.7
74	-0.673997	35.955869	56.564392	0.023739	0.7
75	-0.656048	36.955869	55.588401	0.016748	0.7
76	-0.645505	37.955561	54.645805	0.020831	0.7
77	-0.641137	38.955558	53.734369	0.021403	0.7
78	-0.665298	39.955558	52.852836	0.025696	0.7
79	-0.671114	40.625702	52.278092	0.019356	0.8
80	-0.654267	41.625076	51.443835	0.024010	0.7
81	-0.673318	42.625076	50.635288	0.023236	0.7
82	-0.702425	43.625076	49.851765	0.029085	0.7
83	-0.667570	44.625076	49.092120	0.022931	0.7
84	-0.650418	45.625075	48.355279	0.022818	0.7
85	-0.685531	44.822297	48.945026	0.020719	0.7
86	-0.703346	44.069542	49.511245	0.023731	0.7
87	-0.684942	43.462158	49.977758	0.026340	0.7
88	-0.641192	44.462158	49.214297	0.028951	0.7
89	-0.681390	45.462158	48.473811	0.027780	0.6
90	-0.679449	46.462158	47.755278	0.026861	0.7
91	-0.637172	47.462158	47.057735	0.026527	0.7
92	-0.655292	46.659376	47.616078	0.021518	0.7
93	-0.694599	47.659373	46.922568	0.027000	0.8
94	-0.696873	48.659373	46.248968	0.023641	0.7
95	-0.643702	49.659373	45.594434	0.023712	0.8
96	-0.694120	50.659373	44.958167	0.030086	0.7
97	-0.681345	51.630121	44.357273	0.025895	0.7
98	-0.687609	52.630121	43.754839	0.027723	0.8
99	-0.689820	53.630121	43.168550	0.025675	0.8
100	-0.667398	52.827536	43.637838	0.026305	0.8
101	-0.666222	53.827536	43.054660	0.021905	0.8
102	-0.655257	54.827536	42.486862	0.022423	0.7
103	-0.712104	54.079871	42.909958	0.022324	0.7
104	-0.689516	55.079871	42.345946	0.024538	1.0
105	-0.687346	56.077144	41.798047	0.023444	0.7
106	-0.723921	57.077144	41.262704	0.024374	0.8
107	-0.680241	56.692225	41.467136	0.025790	0.7
108	-0.657895	56.403557	41.621783	0.022376	0.7
109	-0.678857	56.910901	41.350749	0.027154	0.7
110	-0.712544	57.910901	40.826731	0.029637	0.7
111	-0.633856	58.910901	40.315828	0.024233	0.7
112	-0.675200	59.910901	39.817553	0.024811	0.7
113	-0.702991	60.910901	39.331445	0.022105	0.7
114	-0.670057	61.910448	38.857275	0.025257	0.7
115	-0.694278	62.910448	38.394195	0.029878	0.7
116	-0.667079	63.910448	37.942022	0.021358	0.7
117	-0.691910	63.107666	38.304167	0.028664	0.7
118	-0.663129	64.107666	37.854100	0.030020	0.7
119	-0.681204	65.105908	37.415250	0.024376	0.7
120	-0.668695	66.105908	36.985713	0.026589	0.7
121	-0.661803	67.105908	36.565926	0.024801	0.7
122	-0.668198	66.303132	36.902159	0.027400	0.7
123	-0.655167	67.303132	36.484256	0.023257	0.7
124	-0.675760	68.303132	36.075712	0.021594	0.7
125	-0.702434	67.500350	36.402953	0.026165	0.7
126	-0.679772	68.500350	35.996218	0.023705	0.7
127	-0.625444	69.500350	35.598471	0.023929	0.7
128	-0.701389	70.500350	35.209418	0.024474	0.7
129	-0.697665	71.500303	34.828795	0.025280	0.7
130	-0.707082	72.500303	34.456295	0.028843	0.7
131	-0.685501	73.500289	34.091685	0.017694	0.7
132	-0.668076	72.697968	34.383607	0.024406	0.7
133	-0.708931	73.697965	34.020521	0.027565	0.7
134	-0.694079	74.697043	33.665346	0.022996	0.7
135	-0.697819	75.697043	33.317194	0.021062	0.7
136	-0.664876	76.614504	33.004051	0.020032	0.7
137	-0.669686	75.816486	33.276090	0.018775	0.8
138	-0.686237	75.120829	33.516920	0.021919	0.7
139	-0.698464	76.120829	33.171814	0.021938	0.8
140	-0.673916	75.318047	33.448291	0.028983	0.7
141	-0.705042	74.515294	33.729406	0.027095	0.7
142	-0.701134	73.712512	34.015296	0.028655	0.7
143	-0.688192	74.712512	33.659905	0.026354	0.7
144	-0.655483	73.919199	33.941227	0.022955	0.8
145	-0.678938	74.365311	33.782452	0.025140	0.7
146	-0.707302	75.365267	33.431901	0.031371	1.0
147	-0.693330	76.262312	33.123561	0.025048	0.7
148	-0.705480	77.262312	32.786467	0.020049	0.8
149	-0.710815	78.262312	32.456166	0.024348	2.1
150	-0.664713	79.262312	32.132454	0.026074	2.3
151	-0.689605	80.262312	31.815135	0.023405	0.7
152	-0.686324	81.262312	31.504022	0.026332	0.8
153	-0.667043	82.262312	31.198934	0.021593	0.7
154	-0.710280	81.459530	31.443381	0.025219	0.7
155	-0.688539	82.459530	31.139462	0.029991	0.7
156	-0.689780	82.893224	31.009473	0.031007	0.7
157	-0.720156	83.893224	30.713844	0.023370	0.6
158	-0.683463	84.893224	30.423798	0.024813	0.7
159	-0.729061	85.893224	30.139180	0.025285	0.7
160	-0.703926	85.091761	30.366864	0.022811	0.7
161	-0.647138	84.291497	30.597666	0.022261	0.7
162	-0.667917	85.164133	30.346163	0.018270	0.7
163	-0.701433	86.164133	30.062988	0.022450	0.7
164	-0.723312	85.361353	30.289894	0.029938	0.7
165	-0.691391	86.361353	30.007764	0.024818	0.7
166	-0.682040	87.361148	29.730897	0.022092	0.7
167	-0.682812	88.361148	29.459037	0.027332	0.7
168	-0.684775	87.558366	29.676885	0.025095	0.7
169	-0.697896	88.558366	29.406007	0.024201	0.7
170	-0.708938	89.558366	29.140030	0.031192	0.7
171	-0.719492	90.558366	28.878821	0.017213	0.7
172	-0.691389	89.755609	29.088135	0.019681	0.8
173	-0.692174	88.958589	29.298976	0.026268	0.7
174	-0.723302	88.156363	29.514304	0.029538	0.7
175	-0.670127	89.156363	29.246373	0.026377	0.7
176	-0.699897	90.156263	28.983289	0.023123	0.7
177	-0.670440	91.156228	28.724879	0.025722	0.7
178	-0.697864	90.353472	28.931959	0.024460	0.7
179	-0.688820	91.353472	28.674451	0.027403	0.7
180	-0.664632	92.353134	28.421570	0.023014	0.7
181	-0.709134	93.353134	28.173028	0.029242	0.7
182	-0.682571	94.353134	27.928795	0.023860	0.7
183	-0.710898	95.353134	27.688761	0.021786	0.7
184	-0.709404	96.352691	27.452920	0.024720	0.7
185	-0.715807	95.549909	27.642013	0.024623	0.8
186	-0.709193	96.549909	27.406862	0.019151	2.8
187	-0.715593	97.549872	27.175686	0.017578	0.8
188	-0.742023	96.762943	27.357282	0.023239	0.7
189	-0.695394	97.762943	27.126930	0.025271	0.8
190	-0.706040	98.762943	26.900425	0.021696	0.7
191	-0.698355	99.762943	26.677671	0.024322	0.7
192	-0.683052	100.762943	26.458576	0.030247	0.7
193	-0.719350	101.762943	26.243050	0.030052	0.7
194	-0.699628	100.960161	26.415791	0.019094	0.7
195	-0.734894	101.960161	26.200959	0.026643	0.7
196	-0.698796	102.960161	25.989593	0.031239	0.7
197	-0.738174	103.960161	25.781610	0.026070	0.7
198	-0.689908	104.960161	25.576929	0.026367	0.7
199	-0.695167	104.157378	25.740984	0.026674	0.7
200	-0.742282	105.157378	25.536945	0.025437	0.7
201	-0.711193	106.157378	25.336116	0.024076	0.7
202	-0.689168	107.157378	25.138421	0.026864	0.7
203	-0.736716	106.354596	25.296881	0.020002	0.7
204	-0.673523	107.354596	25.099795	0.026138	0.7
205	-0.731238	106.551814	25.257768	0.026179	0.6
206	-0.712353	107.551814	25.061288	0.025190	0.7
207	-0.715301	108.551579	24.867887	0.028409	0.7
208	-0.699872	109.551579	24.677404	0.019281	0.7
209	-0.706652	108.755439	24.828817	0.020933	0.7
210	-0.707962	107.952657	24.983387	0.026288	0.7
